"time","AVG TEMP","SET TEMP","TEMP EXT","TEMP 1","TEMP 2","TEMP 3"
"2023-02-01 00:05:42","25.2","28.0","24.5","-1654.4","25.3","25.1"
"2023-02-01 00:35:42","25.5","28.0","24.6","-1654.4","25.6","25.4"
"2023-02-01 01:05:42","24.8","28.0","23.5","-1654.4","24.8","24.9"
"2023-02-01 01:35:42","24.7","28.0","23.7","-1654.4","24.8","24.7"
"2023-02-01 02:05:42","25.2","28.0","24.4","-1654.4","25.3","25.1"
"2023-02-01 02:35:42","25.1","28.0","24.2","-1654.4","25.2","25.1"
"2023-02-01 03:05:42","25.0","28.0","24.2","-1654.4","25.1","25.0"
"2023-02-01 03:35:42","25.2","28.0","24.4","-1654.4","25.3","25.2"
"2023-02-01 04:05:42","25.0","28.0","24.2","-1654.4","25.1","25.0"
"2023-02-01 04:35:42","25.3","28.0","24.5","-1654.4","25.4","25.2"
"2023-02-01 05:05:42","25.6","28.0","24.8","-1654.4","25.7","25.6"
"2023-02-01 05:35:42","24.9","28.0","24.0","-1654.4","24.9","24.9"
"2023-02-01 06:05:42","24.9","28.0","24.3","-1654.4","25.0","24.9"
"2023-02-01 06:35:42","25.3","28.0","24.6","-1654.4","25.3","25.3"
"2023-02-01 07:05:42","26.2","28.0","26.0","-1654.4","26.4","26.1"
"2023-02-01 07:35:42","26.7","28.0","26.8","-1654.4","26.8","26.6"
"2023-02-01 08:05:42","28.4","28.0","28.7","-1654.4","28.6","28.2"
"2023-02-01 08:35:42","25.4","28.0","28.4","-1654.4","24.7","26.2"
"2023-02-01 09:05:42","27.5","28.0","32.2","-1654.4","27.8","27.2"
"2023-02-01 09:35:42","28.0","28.0","32.1","-1654.4","28.4","27.6"
"2023-02-01 10:05:42","27.9","28.0","31.4","-1654.4","28.2","27.6"
"2023-02-01 10:35:42","27.9","28.0","30.4","-1654.4","28.1","27.7"
"2023-02-01 11:05:42","27.1","28.0","26.4","-1654.4","27.2","27.0"
"2023-02-01 11:35:42","26.3","28.0","25.7","-1654.4","26.3","26.3"
"2023-02-01 12:05:42","25.9","28.0","25.5","-1654.4","25.9","25.9"
"2023-02-01 12:35:42","26.4","28.0","27.1","-1654.4","26.7","26.1"
"2023-02-01 13:05:42","26.8","28.0","26.7","-1654.4","27.0","26.7"
"2023-02-01 13:35:42","26.4","28.0","26.1","-1654.4","26.5","26.4"
"2023-02-01 14:05:42","25.9","28.0","26.0","-1654.4","26.0","25.8"
"2023-02-01 14:35:42","25.6","28.0","25.2","-1654.4","25.7","25.5"
"2023-02-01 15:05:42","26.0","28.0","26.4","-1654.4","26.3","25.8"
"2023-02-01 15:35:42","26.5","28.0","26.9","-1654.4","26.7","26.4"
"2023-02-01 16:05:42","26.6","28.0","26.2","-1654.4","26.8","26.5"
"2023-02-01 16:35:42","26.3","28.0","25.4","-1654.4","26.4","26.2"
"2023-02-01 17:05:42","25.4","28.0","24.1","-1654.4","25.3","25.5"
"2023-02-01 17:35:42","24.5","28.0","23.5","-1654.4","24.5","24.6"
"2023-02-01 18:05:42","23.9","28.0","22.9","-1654.4","23.9","24.0"
"2023-02-01 18:35:42","23.7","28.0","22.7","-1654.4","23.6","23.8"
"2023-02-01 19:05:42","23.5","28.0","22.4","-1654.4","23.5","23.6"
"2023-02-01 19:35:42","23.5","28.0","22.4","-1654.4","23.5","23.5"
"2023-02-01 20:05:42","23.4","28.0","22.6","-1654.4","23.4","23.4"
"2023-02-01 20:35:42","23.3","28.0","22.6","-1654.4","23.4","23.3"
"2023-02-01 21:05:42","23.4","28.0","22.5","-1654.4","23.5","23.4"
"2023-02-01 21:35:42","23.4","28.0","22.4","-1654.4","23.4","23.4"
"2023-02-01 22:05:42","23.4","28.0","22.3","-1654.4","23.4","23.5"
"2023-02-01 22:35:42","23.4","28.0","22.3","-1654.4","23.4","23.5"
"2023-02-01 23:05:42","23.3","28.0","22.2","-1654.4","23.3","23.4"
"2023-02-01 23:35:42","23.2","28.0","22.2","-1654.4","23.2","23.3"
"2023-02-02 00:05:42","23.2","28.0","22.1","-1654.4","23.2","23.2"
"2023-02-02 00:35:42","23.1","28.0","22.0","-1654.4","23.1","23.2"
"2023-02-02 01:05:42","23.1","28.0","22.0","-1654.4","23.1","23.2"
"2023-02-02 01:35:42","23.1","28.0","22.0","-1654.4","23.1","23.1"
"2023-02-02 02:05:42","23.0","28.0","21.9","-1654.4","23.0","23.0"
"2023-02-02 02:35:42","22.9","28.0","21.8","-1654.4","22.9","23.0"
"2023-02-02 03:05:42","22.9","28.0","21.8","-1654.4","22.9","23.0"
"2023-02-02 03:35:42","22.9","28.0","21.8","-1654.4","22.9","22.9"
"2023-02-02 04:05:42","22.8","28.0","21.6","-1654.4","22.8","22.8"
"2023-02-02 04:35:42","22.7","28.0","21.5","-1654.4","22.7","22.7"
"2023-02-02 05:05:42","22.7","28.0","21.6","-1654.4","22.7","22.7"
"2023-02-02 05:35:42","22.7","28.0","21.6","-1654.4","22.7","22.7"
"2023-02-02 06:05:42","22.8","28.0","21.8","-1654.4","22.8","22.8"
"2023-02-02 06:35:42","23.0","28.0","22.1","-1654.4","23.1","23.0"
"2023-02-02 07:05:42","23.5","28.0","23.3","-1654.4","23.6","23.4"
"2023-02-02 07:35:42","24.0","28.0","24.2","-1654.4","24.3","23.8"
"2023-02-02 08:05:42","25.1","28.0","25.6","-1654.4","25.4","24.8"
"2023-02-02 08:35:42","25.4","28.0","29.3","-1654.4","26.0","24.9"
"2023-02-02 09:05:42","26.0","28.0","27.2","-1654.4","26.7","25.3"
"2023-02-02 09:35:42","26.3","28.0","30.2","-1654.4","27.0","25.6"
"2023-02-02 10:05:42","26.9","28.0","32.0","-1654.4","27.5","26.4"
"2023-02-02 10:35:42","27.3","28.0","28.6","-1654.4","27.8","26.9"
"2023-02-02 11:05:42","27.4","28.0","31.0","-1654.4","27.9","26.9"
"2023-02-02 11:35:42","28.3","28.0","31.3","-1654.4","28.8","27.9"
"2023-02-02 12:05:42","28.6","28.0","30.0","-1654.4","29.0","28.2"
"2023-02-02 12:35:42","28.5","28.0","33.6","-1654.4","28.8","28.2"
"2023-02-02 13:05:42","28.5","28.0","32.0","-1654.4","28.8","28.3"
"2023-02-02 13:35:42","26.5","28.0","31.2","-1654.4","28.1","24.9"
"2023-02-02 14:05:42","26.4","28.0","29.3","-1654.4","27.5","25.4"
"2023-02-02 14:35:42","26.4","28.0","29.6","-1654.4","27.7","25.1"
"2023-02-02 15:05:42","27.3","28.0","29.6","-1654.4","28.2","26.5"
"2023-02-02 15:35:42","27.6","28.0","29.5","-1654.4","28.2","27.1"
"2023-02-02 16:05:42","24.9","28.0","23.7","-1654.4","25.2","24.7"
"2023-02-02 16:35:42","24.1","28.0","23.2","-1654.4","24.2","24.1"
"2023-02-02 17:05:42","23.7","28.0","22.7","-1654.4","23.8","23.6"
"2023-02-02 17:35:42","23.5","28.0","22.5","-1654.4","23.5","23.5"
"2023-02-02 18:05:42","23.4","28.0","22.5","-1654.4","23.4","23.4"
"2023-02-02 18:35:42","23.4","28.0","22.5","-1654.4","23.4","23.4"
"2023-02-02 19:05:42","23.4","28.0","22.4","-1654.4","23.4","23.4"
"2023-02-02 19:35:42","23.4","28.0","22.5","-1654.4","23.5","23.4"
"2023-02-02 20:05:42","23.4","28.0","22.5","-1654.4","23.5","23.4"
"2023-02-02 20:35:42","23.3","28.0","22.4","-1654.4","23.4","23.3"
