"time","AVG TEMP","SET TEMP","HUMIDITY","TEMP 1","TEMP 2","TEMP 3"
"2023-02-07 05:18:26","23.7","27.0","0","14.8","23.7","8.2"
"2023-02-07 05:48:26","23.6","27.0","0","14.4","23.6","9.2"
"2023-02-07 06:18:26","23.8","27.0","0","14.9","23.8","9.5"
"2023-02-07 06:48:26","24.6","27.0","0","15.4","24.6","10.1"
"2023-02-07 07:18:26","25.3","27.0","0","16.1","25.3","13.1"
"2023-02-07 07:48:26","25.5","27.0","0","16.4","25.5","13.1"
"2023-02-07 08:18:26","26.0","27.0","0","16.6","26.0","10.0"
"2023-02-07 08:48:26","26.9","27.0","0","16.7","26.9","11.7"
"2023-02-07 08:53:00","27.2","27.0","0","17.1","27.2","12.3"
"2023-02-07 08:53:53","0.0","0.0","0","0.0","0.0","0.0"
"2023-02-07 09:23:53","27.7","27.0","0","17.4","27.7","13.4"
"2023-02-07 09:53:53","27.6","27.0","0","17.8","27.6","12.6"
"2023-02-07 10:23:53","28.2","27.0","0","18.1","28.2","11.8"
"2023-02-07 10:53:53","28.4","27.0","0","18.5","28.4","12.4"
"2023-02-07 11:23:53","27.6","27.0","0","18.6","27.6","12.6"
"2023-02-07 11:53:53","28.6","27.0","0","19.4","28.6","14.8"
"2023-02-07 12:23:53","27.3","27.0","0","19.2","27.3","14.4"
"2023-02-07 12:53:53","26.7","27.0","0","19.5","26.7","14.7"
"2023-02-07 13:23:53","27.8","27.0","0","19.1","27.8","13.7"
"2023-02-07 13:53:53","27.6","27.0","0","18.7","27.6","13.7"
"2023-02-07 14:23:53","27.7","27.0","0","18.4","27.7","13.7"
"2023-02-07 14:53:53","27.3","27.0","0","18.3","27.3","13.8"
"2023-02-07 15:23:53","27.4","27.0","0","18.2","27.4","13.1"
"2023-02-07 15:53:53","27.1","27.0","0","18.0","27.1","10.7"
"2023-02-07 16:23:53","26.9","27.0","0","17.9","26.9","7.5"
"2023-02-07 16:53:53","26.2","27.0","0","17.5","26.2","10.7"
"2023-02-07 17:23:53","24.6","27.0","0","16.2","24.6","10.1"
"2023-02-07 17:53:53","24.3","27.0","0","15.7","24.3","8.9"
"2023-02-07 18:23:53","24.4","27.0","0","15.3","24.4","8.0"
"2023-02-07 18:53:53","24.5","27.0","0","15.5","24.5","12.7"
"2023-02-07 19:23:53","24.5","27.0","0","15.4","24.5","12.5"
"2023-02-07 19:53:53","24.4","27.0","0","15.4","24.4","12.6"
"2023-02-07 20:23:53","24.4","27.0","0","15.5","24.4","12.5"
"2023-02-07 20:53:53","24.3","27.0","0","15.3","24.3","12.3"
"2023-02-07 21:23:53","24.3","27.0","0","15.4","24.3","12.3"
"2023-02-07 21:53:53","24.7","27.0","0","15.5","24.7","12.4"
"2023-02-07 22:23:53","24.6","27.0","0","15.3","24.6","12.6"
"2023-02-07 22:53:53","24.5","27.0","0","15.3","24.5","12.6"
"2023-02-07 23:23:53","24.5","27.0","0","15.2","24.5","12.4"
"2023-02-07 23:53:53","24.3","27.0","0","15.0","24.3","12.3"
"2023-02-08 00:23:53","24.3","27.0","0","15.2","24.3","12.3"
"2023-02-08 00:53:53","24.1","27.0","0","15.0","24.1","12.3"
"2023-02-08 01:23:53","24.0","27.0","0","15.1","24.0","12.2"
"2023-02-08 01:53:53","24.0","27.0","0","14.9","24.0","12.1"
"2023-02-08 02:23:53","23.9","27.0","0","14.9","23.9","12.1"
"2023-02-08 02:53:53","24.0","27.0","0","15.3","24.0","11.9"
"2023-02-08 03:23:53","23.7","27.0","0","14.9","23.7","11.7"
"2023-02-08 03:53:53","23.8","27.0","0","14.9","23.8","11.1"
"2023-02-08 04:23:53","23.8","27.0","0","14.9","23.8","9.3"
"2023-02-08 04:53:53","23.7","27.0","0","15.0","23.7","8.9"
"2023-02-08 05:23:53","23.7","27.0","0","14.8","23.7","8.9"
"2023-02-08 05:53:53","23.6","27.0","0","14.7","23.6","8.7"
"2023-02-08 06:23:53","23.8","27.0","0","14.8","23.8","8.8"
"2023-02-08 06:53:53","24.2","27.0","0","15.3","24.2","9.1"
"2023-02-08 07:23:53","24.8","27.0","0","15.9","24.8","9.5"
"2023-02-08 07:53:53","25.6","27.0","0","16.2","25.6","10.2"
"2023-02-08 08:23:53","26.4","27.0","0","16.7","26.4","10.4"
"2023-02-08 08:53:53","26.8","27.0","0","17.1","26.8","11.1"
"2023-02-08 09:23:53","27.2","27.0","0","17.9","27.2","10.6"
"2023-02-08 09:53:53","27.9","27.0","0","18.1","27.9","12.0"
"2023-02-08 10:23:53","28.3","27.0","0","18.3","28.3","12.3"
"2023-02-08 10:53:53","28.6","27.0","0","19.3","28.6","12.5"
"2023-02-08 11:23:53","29.3","27.0","0","19.6","29.3","13.0"
"2023-02-08 11:53:53","29.6","27.0","0","20.3","29.6","12.9"
"2023-02-08 12:23:53","29.1","27.0","0","20.3","29.1","12.0"
"2023-02-08 12:53:53","30.3","27.0","0","21.6","30.3","12.9"
"2023-02-08 13:23:53","30.0","27.0","0","21.2","30.0","13.0"
"2023-02-08 13:53:53","28.9","27.0","0","19.9","28.9","12.5"
"2023-02-08 14:23:53","29.0","27.0","0","20.3","29.0","12.6"
"2023-02-08 14:53:53","29.1","27.0","0","20.2","29.1","11.9"
"2023-02-08 15:23:53","29.7","27.0","0","20.8","29.7","12.3"
"2023-02-08 15:53:53","28.9","27.0","0","20.0","28.9","12.0"
"2023-02-08 16:23:53","28.5","27.0","0","19.6","28.5","11.7"
"2023-02-08 16:53:53","27.7","27.0","0","18.8","27.7","11.3"
"2023-02-08 17:23:53","27.1","27.0","0","18.2","27.1","11.0"
"2023-02-08 17:53:53","26.9","27.0","0","18.0","26.9","10.7"
"2023-02-08 18:23:53","26.0","27.0","0","17.0","26.0","10.1"
"2023-02-08 18:53:53","25.2","27.0","0","16.2","25.2","9.6"
"2023-02-08 19:23:53","25.2","27.0","0","16.3","25.2","9.5"
"2023-02-08 19:53:53","25.3","27.0","0","16.4","25.3","9.6"
"2023-02-08 20:23:53","25.2","27.0","0","16.2","25.2","9.4"
"2023-02-08 20:53:53","25.1","27.0","0","16.2","25.1","9.4"
"2023-02-08 21:23:53","25.1","27.0","0","16.1","25.1","9.3"
"2023-02-08 21:53:53","25.0","27.0","0","15.8","25.0","9.3"
"2023-02-08 22:23:53","25.0","27.0","0","15.9","25.0","9.2"
"2023-02-08 22:53:53","25.1","27.0","0","16.0","25.1","9.2"
"2023-02-08 23:23:53","25.1","27.0","0","16.0","25.1","9.4"
"2023-02-08 23:53:53","25.2","27.0","0","16.1","25.2","9.5"
"2023-02-09 00:23:53","25.0","27.0","0","16.1","25.0","9.4"
